,Rsmiles,Psmiles
7734,[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C@@:3]2([H:11])[C:4]([H:12])([H:13])[C@@:5]2([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])[H:9].[H:10][H:14]
7735,[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C:2]1=[C:6]([H:16])[C:5]([H:14])([H:15])[C:4]([H:13])=[C:3]1[H:11])([H:8])([H:9])[H:10].[O:7]([H:12])[H:17]
7736,[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1](/[C:2]([C:3]1([H:11])[C:4]([H:12])([H:13])[C:5]1([H:14])[H:15])=[C:6](\[O:7][H:17])[H:16])([H:8])([H:9])[H:10]
7737,[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C:2]1=[C:6]([O:7][H:17])[C:5]([H:14])([H:15])[C:4]([H:12])=[C:3]1[H:11])([H:8])([H:9])[H:10].[H:13][H:16]
7738,[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1](/[C:2](=[C:3](\[C:4]([C:5]([C:6](=[O:7])[H:16])([H:14])[H:15])([H:12])[H:13])[H:11])[H:17])([H:8])([H:9])[H:10]
7742,[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[C:3][C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10]
7744,[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C:3]([H:11])=[C:4]([H:12])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])[H:10].[H:9][H:13]
7746,[C:1]([C:2]1=[C:3]([H:11])[C:4]([H:12])([H:13])[C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1](/[C:2](=[C:3](/[C:4]([C:5]([H:14])([H:15])[H:16])([H:12])[H:13])[H:11])[C:6][O:7][H:17])([H:8])([H:9])[H:10]
7747,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C@:2]1([C:3](=[C:4]=[N:5][H:12])[H:11])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10]
7748,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2](=[C:3])[C:7]([O:6]/[C:4](=[N:5]\[H:12])[H:11])([H:13])[H:14])([H:8])([H:9])[H:10]
7749,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2]#[C:3][H:11])([H:8])([H:9])[H:10].[C:4]=[N:5][H:12].[O:6]=[C:7]([H:13])[H:14]
7750,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1](/[C:2](=[C:3](/[C:4]#[N:5])[H:11])[C:7]([O:6][H:12])([H:13])[H:14])([H:8])([H:9])[H:10]
7751,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:7]([C:2]#[C:3][H:11])([H:13])[H:14])([H:8])([H:9])[H:10].[C:4](=[N:5][H:12])=[O:6]
7752,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3](=[C:4]=[N:5][H:12])[H:11])=[C:7]([O:6][H:14])[H:13])([H:8])([H:9])[H:10]
7753,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([c:2]1[c:3]([H:11])[c:4]([N:5]([H:12])[H:13])[o:6][c:7]1[H:14])([H:8])([H:9])[H:10]
7755,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C:3]([H:11])=[C:4]([N:5]([H:10])[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])[H:9]
7758,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C@@:3]1([H:11])[C:2][C:7]([H:13])([H:14])[O:6]/[C:4]1=[N:5]\[H:12])([H:8])([H:9])[H:10]
7759,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2]1=[C:3]=[C:4]([N:5]([H:11])[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10]
7760,[C:1]([C:2]1=[C:3]([H:11])/[C:4](=[N:5]/[H:12])[O:6][C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C@@:2]([C:3](=[C:4]=[N:5][H:12])[H:11])([C:7](=[O:6])[H:14])[H:13])([H:8])([H:9])[H:10]
7764,[O:1]=[C:2]([n:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1)[H:8],[O:1]=[C:2]([N:3]=[C:4]([N:5]=[C:6]=[N:7][H:10])[H:9])[H:8]
7765,[O:1]=[C:2]([n:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1)[H:8],[O:1]1[C@:2]2([H:8])[N:3]3[C@:4]2([H:9])[N:5]2[C@:6]1([H:10])[N:7]32
7767,[O:1]=[C:2]([n:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1)[H:8],[O:1]=[C:2]([N:3]1[C@:4]2([H:9])[N:5]=[C:6]([H:10])[N:7]12)[H:8]
7768,[O:1]=[C:2]([n:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1)[H:8],[O+:1]#[C-:2].[n:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1[H:8]
7769,[O:1]=[C:2]([n:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1)[H:8],[C:4](#[N:5])[H:9].[O:1]=[C:2]([N-:3][N+:7]#[C:6][H:10])[H:8]
7770,[O:1]=[C:2]([n:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1)[H:8],[O:1]=[C:2]([C@:4]1([H:9])[N:3]=[N:7][C:6]([H:10])=[N:5]1)[H:8]
7771,[O:1]=[C:2]([n:3]1[c:4]([H:9])[n:5][c:6]([H:10])[n:7]1)[H:8],[O:1]1[C:2]([H:8])=[N:3][C:4]([H:9])=[N:5][C:6]([H:10])=[N:7]1
7772,[C:1]([c:2]1[n:3][n:4]([H:11])[c:5](=[O:6])[n:7]1[H:12])([H:8])([H:9])[H:10],[C:1]([c:2]1[n:3]([H:11])[n:4][c:5]([O-:6])[n+:7]1[H:12])([H:8])([H:9])[H:10]
7773,[C:1]([c:2]1[n:3][n:4]([H:11])[c:5](=[O:6])[n:7]1[H:12])([H:8])([H:9])[H:10],[C:1]([c:2]1[n:3][n:4]([H:11])[c:5]([O:6][H:12])[n:7]1)([H:8])([H:9])[H:10]
7774,[C:1]([c:2]1[n:3][n:4]([H:11])[c:5](=[O:6])[n:7]1[H:12])([H:8])([H:9])[H:10],[C-:5]#[O+:6].[C:1]([C:2](/[N:3]=[N:4]/[H:11])=[N:7]\[H:12])([H:8])([H:9])[H:10]
7775,[C:1]([c:2]1[n:3][n:4]([H:11])[c:5](=[O:6])[n:7]1[H:12])([H:8])([H:9])[H:10],[C:1]([C:2](/[N:3]=[N:4]/[H:11])=[N:7]/[C:5](=[O:6])[H:12])([H:8])([H:9])[H:10]
7777,[C:1]([c:2]1[n:3][n:4]([H:11])[c:5](=[O:6])[n:7]1[H:12])([H:8])([H:9])[H:10],[C:1]([c:2]1[n:3][n:4][c:5]([O:6][H:11])[n:7]1[H:12])([H:8])([H:9])[H:10]
7778,[C:1]([c:2]1[n:3][n:4]([H:11])[c:5](=[O:6])[n:7]1[H:12])([H:8])([H:9])[H:10],[C:1]([C:2](/[N:3]=[N:4]\[C:5](=[O:6])[H:11])=[N:7]\[H:12])([H:8])([H:9])[H:10]
7779,[C:1]([c:2]1[n:3][n:4]([H:11])[c:5](=[O:6])[n:7]1[H:12])([H:8])([H:9])[H:10],[C:1](=[C:2](/[N:3]=[N:4]/[H:11])[N:7]([C:5](=[O:6])[H:8])[H:12])([H:9])[H:10]
7782,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([H:14])([H:15])[H:16])[C:5]1([H:17])[C:6]([H:18])([H:19])[C:7]1([H:20])[H:21])([H:8])([H:9])[H:10],[C:1]([C:2][C:5]1([H:17])[C:6]([H:18])([H:19])[C:7]1([H:20])[H:21])([H:8])([H:9])[H:10].[C:3]([C:4]([H:14])([H:15])[H:16])([H:11])([H:12])[H:13]
7783,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([H:14])([H:15])[H:16])[C:5]1([H:17])[C:6]([H:18])([H:19])[C:7]1([H:20])[H:21])([H:8])([H:9])[H:10],[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C@:5]([C:7]([C:4]([H:14])([H:15])[H:16])([H:20])[H:21])([H:17])[C:6]1([H:18])[H:19])([H:8])([H:9])[H:10]
7784,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([H:14])([H:15])[H:16])[C:5]1([H:17])[C:6]([H:18])([H:19])[C:7]1([H:20])[H:21])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([H:14])([H:15])[H:16])[C:5][C:7]([C:6]([H:17])([H:18])[H:19])([H:20])[H:21])([H:8])([H:9])[H:10]
7785,[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])([C:4]([H:14])([H:15])[H:16])[C:5]1([H:17])[C:6]([H:18])([H:19])[C:7]1([H:20])[H:21])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[C:5]1[C:6]([H:18])([H:19])[C:7]1([H:20])[H:21])([H:8])([H:9])[H:10].[C:4]([H:14])([H:15])([H:16])[H:17]
7788,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C@:2]1([H:13])[C:3]([H:11])=[N+:4]([H:12])[C:5]([O-:6])=[C:7]1[H:14])([H:8])([H:9])[H:10]
7789,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([c:2]1[c:3]([H:11])[n:4]([H:12])[c:5]([O:6][H:14])[c:7]1[H:13])([H:8])([H:9])[H:10]
7791,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2]1=[C-:3][N:4]([H:12])[C+:5]([O:6][H:11])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10]
7792,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2](/[C:3](=[N:4]/[H:12])[H:11])=[C:7](/[C:5](=[O:6])[H:14])[H:13])([H:8])([H:9])[H:10]
7794,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C-:3]=[N+:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])[H:9].[H:10][H:11]
7796,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C@:2]1([H:11])[C-:3]=[N+:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10]
7797,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2]1=[C:7]([H:13])[C:5](=[O:6])[N:4]=[C:3]1[H:11])([H:8])([H:9])[H:10].[H:12][H:14]
7798,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1](=[C:2]1[C:3]([H:11])=[N:4][C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])[H:9].[H:10][H:12]
7799,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2]1=[C:3]([H:11])[N:4]=[C:5]([O:6][H:12])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10]
7801,[C:1]([C:2]1=[C:3]([H:11])[N:4]([H:12])[C:5](=[O:6])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10],[C:1]([C:2]1=[C:3]([H:11])[O:6]/[C:5](=[N:4]\[H:12])[C:7]1([H:13])[H:14])([H:8])([H:9])[H:10]
7804,[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])([H:15])[C:5](=[O:6])[O:7]1)([H:8])([H:9])[H:10],[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])=[C:5]([O:6][H:15])[O:7]1)([H:8])([H:9])[H:10]
7806,[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])([H:15])[C:5](=[O:6])[O:7]1)([H:8])([H:9])[H:10],[C-:5]#[O+:6].[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])([H:15])[O:7]1)([H:8])([H:9])[H:10]
7807,[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])([H:15])[C:5](=[O:6])[O:7]1)([H:8])([H:9])[H:10],[C:1]([O:7][C:5]([C:4]([C:2][C:3]([H:11])([H:12])[H:13])([H:14])[H:15])=[O:6])([H:8])([H:9])[H:10]
7808,[C:1]([C:2]1([C:3]([H:11])([H:12])[H:13])[C:4]([H:14])([H:15])[C:5](=[O:6])[O:7]1)([H:8])([H:9])[H:10],[C:1]([C:2]([C:3]([H:11])([H:12])[H:13])=[O:7])([H:8])([H:9])[H:10].[C:4](=[C:5]=[O:6])([H:14])[H:15]
7811,[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])([H:17])[C@:5]2([H:15])[C@@:6]1([H:16])[O:7]2)([H:8])([H:9])[H:10]
7816,[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C@:4]([O:7][H:17])([H:14])[C:5]([H:15])=[C:6]1[H:16])([H:8])([H:9])[H:10]
7818,[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1](=[C:2](/[C:3](=[C:4]([C:5](=[C:6](/[O:7][H:17])[H:16])\[H:15])/[H:14])[H:12])[H:11])([H:8])[H:10].[H:9][H:13]
7821,[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C:2][H:11])([H:8])([H:9])[H:10].[C:3]1([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C@:6]1([O:7][H:17])[H:16]
7822,[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C@:4]1(/[C:5](=[C:6](/[O:7][H:17])[H:16])[H:15])[H:14])([H:8])([H:9])[H:10]
7823,[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4][C:5]([H:14])([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10]
7824,[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C@:6]1([O:7][H:17])[H:16])([H:8])([H:9])[H:10],[C:1]([C@@:2]1([H:11])[C:3]([H:12])([H:13])[C:4]([H:14])=[C:5]([H:15])[C:6]1=[O:7])([H:8])([H:9])[H:10].[H:16][H:17]
7825,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3](=[O:4])[C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10].[H:13][H:14]
7826,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3](=[O:4])[C:5]([C:6]([O:7][H:14])([H:13])[H:17])([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10]
7827,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C-:6]#[O+:7].[C:1]([C:2]([C:3]([O:4][H:14])=[C:5]([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10].[H:13][H:17]
7828,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([O+:7]=[C-:6][H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
7830,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C@@:3]1([H:13])[O:4][C@@:6]([O:7][H:14])([H:17])[C:5]1([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10]
7831,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C@@:3]([O:4][H:14])(/[C:5](=[C:6](\[O:7][H:15])[H:17])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
7832,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3][C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10].[O:4]([H:13])[H:14]
7833,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:5]([C:3](=[O:4])[H:13])([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10].[C:6](=[O:7])([H:14])[H:17]
7834,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1](=[C:2]([H:11])[H:12])([H:9])[H:10].[C:3](=[O:4])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13].[H:8][H:14]
7835,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([H:8])([H:9])([H:10])[H:14].[C:2]([C:3](=[O:4])[H:13])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])([H:11])[H:12]
7836,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1](/[C:2](=[C:3](/[C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])[H:12])([H:8])([H:9])[H:10].[O:4]([H:11])[H:14]
7837,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C@@:3]1([H:13])[O:4][C:5]1([H:15])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10].[C:6]([O:7][H:14])[H:17]
7838,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3](=[C:5]([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[O:4]([C:6](=[O:7])[H:17])[H:14]
7839,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:3](=[O:4])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10].[C:5](=[C:6]([O:7][H:14])[H:17])([H:15])[H:16]
7840,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C:5]([C:3](=[O:4])[H:13])([C:6](=[O:7])[H:17])[H:16])([H:11])[H:12])([H:8])([H:9])[H:10].[H:14][H:15]
7842,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6][O:7][H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]
7843,[C:1]([C:2]([C@@:3]([O:4][H:14])([C:5]([C:6](=[O:7])[H:17])([H:15])[H:16])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1](/[C:2](=[C:3](\[O:4][H:14])[H:13])[H:12])([H:8])([H:9])[H:10].[C:5](=[C:6]([O:7][H:11])[H:17])([H:15])[H:16]
7844,[C:1]([O:2][C:3]([C:4]1([C:5]([H:13])([H:14])[H:15])[C:6]([H:16])([H:17])[C:7]1([H:18])[H:19])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([O:2][C:6]([C:7]([C:4](=[C:3]([H:11])[H:12])[C:5]([H:13])([H:14])[H:15])([H:18])[H:19])([H:16])[H:17])([H:8])([H:9])[H:10]
7845,[C:1]([O:2][C:3]([C:4]1([C:5]([H:13])([H:14])[H:15])[C:6]([H:16])([H:17])[C:7]1([H:18])[H:19])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([O+:2]=[C-:3][H:12])([H:8])([H:9])[H:10].[C:4]1([C:5]([H:13])([H:14])[H:15])([H:11])[C:6]([H:16])([H:17])[C:7]1([H:18])[H:19]
7846,[C:1]([O:2][C:3]([C:4]1([C:5]([H:13])([H:14])[H:15])[C:6]([H:16])([H:17])[C:7]1([H:18])[H:19])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([O:2][C:3]([C:4][C:7]([C:6]([C:5]([H:13])([H:14])[H:15])([H:16])[H:17])([H:18])[H:19])([H:11])[H:12])([H:8])([H:9])[H:10]
7847,[C:1]([O:2][C:3]([C:4]1([C:5]([H:13])([H:14])[H:15])[C:6]([H:16])([H:17])[C:7]1([H:18])[H:19])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([O:2][C:3]([C:6]([C:7]([C:4][C:5]([H:13])([H:14])[H:15])([H:18])[H:19])([H:16])[H:17])([H:11])[H:12])([H:8])([H:9])[H:10]
7848,[C:1]([O:2][C:3]([C:4]1([C:5]([H:13])([H:14])[H:15])[C:6]([H:16])([H:17])[C:7]1([H:18])[H:19])([H:11])[H:12])([H:8])([H:9])[H:10],[C:1]([C:5]([C:4]1([C:3]([O:2][H:13])([H:11])[H:12])[C:6]([H:16])([H:17])[C:7]1([H:18])[H:19])([H:14])[H:15])([H:8])([H:9])[H:10]
7851,[O:1]([C@@:2]1([H:9])[C@:3]2([H:10])[O:4][C@@:5]1([H:11])[C@:6]2([O:7][H:13])[H:12])[H:8],[H:12][H:13].[O:1]([C@@:2]1([H:9])[C@@:3]2([H:10])[O:4][C@:5]1([H:11])[C:6]2=[O:7])[H:8]
7855,[O:1]([C@@:2]1([H:9])[C@:3]2([H:10])[O:4][C@@:5]1([H:11])[C@:6]2([O:7][H:13])[H:12])[H:8],[O:1]([C:2]([C@:5]1([H:11])[O+:4]=[C-:3][C@@:6]1([O:7][H:13])[H:12])([H:9])[H:10])[H:8]
7860,[N:1]([C:2](=[O:3])[C:4]([O:5]/[C:6](=[N:7]/[H:13])[H:12])([H:10])[H:11])([H:8])[H:9],[C:2]1(=[O:3])[C:4]([H:10])([H:11])[O:5]/[C:6]1=[N:7]/[H:13].[N:1]([H:8])([H:9])[H:12]
7861,[N:1]([C:2](=[O:3])[C:4]([O:5]/[C:6](=[N:7]/[H:13])[H:12])([H:10])[H:11])([H:8])[H:9],[N:1]([C:2][C:4]([O:5][C@:6]1([H:12])[O:3][N:7]1[H:13])([H:10])[H:11])([H:8])[H:9]
7862,[N:1]([C:2](=[O:3])[C:4]([O:5]/[C:6](=[N:7]/[H:13])[H:12])([H:10])[H:11])([H:8])[H:9],[C:4](=[O:5])([H:10])[H:11].[C:6](#[N:7])[H:12].[N:1]([C:2](=[O:3])[H:13])([H:8])[H:9]
